C:\Users\Naomi\AppData\Local\Programs\Python\Python36\python.exe D:/Naomi/Desktop/Naomi/AI/AI_project/main.py --ee sf --graphs -m S_M_750_maxreward2 -d 0.99 -a 0.5 -e 0.002 --maxreward 750
Loading chipmunk for Windows (64bit) [C:\Users\Naomi\AppData\Local\Programs\Python\Python36\lib\site-packages\pymunk\chipmunk.dll]
no model found
episode 552: -66.20000000000047
episode 553: -61.70000000000052
episode 554: -66.20000000000033
episode 555: -66.20000000000041
episode 556: -59.00000000000049
episode 557: -66.20000000000046
episode 558: -58.10000000000052
episode 559: -56.300000000000495
episode 560: -63.50000000000048
episode 561: -62.600000000000584
episode 562: -56.30000000000047
episode 563: -56.30000000000048
episode 564: -59.00000000000052
episode 565: -58.100000000000534
episode 566: -62.60000000000059
episode 567: -52.6341525915344
episode 568: -59.000000000000476
episode 569: -39.54014410989818
episode 570: -62.600000000000556
episode 571: -63.50000000000049
episode 572: -58.100000000000506
episode 573: -70.7000000000003
episode 574: -56.300000000000495
episode 575: -54.50000000000049
episode 576: -57.200000000000486
episode 577: -66.20000000000044
episode 578: -60.80000000000047
episode 579: -53.37560414901874
episode 580: -20.60171450292574
episode 581: -61.70000000000051
episode 582: -57.200000000000486
episode 583: -65.3000000000004
episode 584: -67.10000000000042
episode 585: -60.355769815813474
episode 586: -51.53959409796608
episode 587: -68.90000000000025
episode 588: -64.40000000000052
episode 589: -54.500000000000476
episode 590: -57.20000000000049
episode 591: -63.50000000000053
episode 592: -62.60000000000052
episode 593: -60.80000000000057
episode 594: -56.30000000000052
episode 595: -63.500000000000455
episode 596: -55.75254026325448
episode 597: -59.000000000000476
episode 598: -56.30000000000047
episode 599: -63.50000000000053
episode 600: -62.60000000000049
episode 601: -46.39112692595328
episode 602: -74.30000000000005
episode 603: -62.600000000000556
episode 604: -57.20000000000053
episode 605: -63.50000000000058
episode 606: -65.30000000000054
episode 607: -62.60000000000053
episode 608: -56.300000000000495
episode 609: -69.80000000000014
episode 610: -27.100832685271882
episode 611: -63.50000000000055
episode 612: -56.3000000000005
episode 613: -76.10000000000004
episode 614: -58.10000000000049
episode 615: -47.08634449184288
episode 616: -40.16840615676966
episode 617: -59.9000000000005
episode 618: -65.30000000000041
episode 619: -64.40000000000046
episode 620: -61.70000000000052
episode 621: -59.90000000000052
episode 622: -68.00000000000034
episode 623: -60.80000000000055
episode 624: -57.20000000000048
episode 625: -39.72619265475593
episode 626: -68.90000000000028
episode 627: -61.70000000000055
episode 628: -72.50000000000003
episode 629: -71.60000000000011
episode 630: -59.000000000000504
episode 631: -61.70000000000052
episode 632: -56.30000000000046
episode 633: -58.100000000000534
episode 634: -59.0000000000005
episode 635: -65.30000000000041
episode 636: -56.30000000000048
episode 637: -67.10000000000025
episode 638: -54.5000000000005
episode 639: -71.60000000000028
episode 640: -59.000000000000526
episode 641: -55.878328334114705
episode 642: -68.00000000000028
episode 643: -78.79999999999964
episode 644: -62.6000000000005
episode 645: -65.30000000000045
episode 646: -69.8000000000002
episode 647: -57.20000000000051
episode 648: -67.1000000000004
episode 649: -59.000000000000476
episode 650: -66.20000000000043
episode 651: -58.1000000000005
episode 652: -55.40000000000048
episode 653: -58.10000000000047
episode 654: -55.400000000000496
episode 655: -53.179679501286614
episode 656: -62.60000000000051
episode 657: -63.50000000000052
episode 658: -58.10000000000052
episode 659: -50.91287943275365
episode 660: -68.00000000000028
episode 661: -66.20000000000044
episode 662: -76.09999999999988
episode 663: -68.00000000000041
episode 664: -41.21303652188692
episode 665: -71.60000000000007
episode 666: -63.50000000000059
episode 667: -60.80000000000055
episode 668: -67.10000000000039
episode 669: -60.800000000000516
episode 670: -70.70000000000012
episode 671: -68.90000000000019
episode 672: -36.896850814843376
episode 673: -61.70000000000049
episode 674: -54.500000000000476
episode 675: -64.4000000000005
episode 676: -55.40000000000048
episode 677: -59.00000000000047
episode 678: -71.60000000000015
episode 679: -65.3000000000004
episode 680: -58.10000000000049
episode 681: -64.40000000000052
episode 682: -69.80000000000011
episode 683: -58.100000000000534
episode 684: -56.30000000000047
episode 685: -59.000000000000504
episode 686: -59.00000000000049
episode 687: -56.30000000000048
episode 688: -61.700000000000564
episode 689: -61.700000000000514
episode 690: -73.40000000000002
episode 691: -58.100000000000506
episode 692: -59.90000000000047
episode 693: -59.00000000000051
episode 694: -50.58342101444893
episode 695: -53.60000000000047
episode 696: -58.1000000000005
episode 697: -58.10000000000053
episode 698: -62.60000000000055
episode 699: -58.10000000000054
episode 700: -56.30000000000052
episode 701: -59.900000000000524
episode 702: -61.70000000000058
episode 703: -65.30000000000045
episode 704: -57.2000000000005
episode 705: -59.90000000000054
episode 706: -64.40000000000053
episode 707: -72.50000000000014
episode 708: -54.50000000000047
episode 709: -57.200000000000536
episode 710: -70.70000000000017
episode 711: -65.04810602252866
episode 712: -60.80000000000055
episode 713: -60.800000000000495
episode 714: -57.20000000000051
episode 715: -72.50000000000004
episode 716: -56.30000000000051
episode 717: -65.3000000000004
episode 718: -67.10000000000029
episode 719: -63.50000000000054
episode 720: -71.60000000000008
episode 721: -63.50000000000058
episode 722: -68.00000000000034
episode 723: -62.6000000000005
episode 724: -60.80000000000049
episode 725: -52.700000000000486
episode 726: -59.000000000000504
episode 727: -65.3000000000005
episode 728: -58.10000000000052
episode 729: -60.800000000000544
episode 730: -67.10000000000036
episode 731: -59.00000000000051
episode 732: -57.20000000000049
episode 733: -70.70000000000014
episode 734: -63.500000000000554
episode 735: -60.800000000000516
episode 736: -60.80000000000046
episode 737: -43.68909294824956
episode 738: -59.00000000000048
episode 739: -61.70000000000057
episode 740: -78.79999999999963
episode 741: -68.00000000000036
episode 742: -72.50000000000009
episode 743: -71.60000000000035
episode 744: -62.600000000000534
episode 745: -51.548992563318144
episode 746: -60.80000000000055
episode 747: 49.71342202560754
episode 748: -44.09041542649547
episode 749: -59.000000000000504
episode 750: -59.00000000000048
episode 751: -60.80000000000047
episode 752: -67.10000000000028
episode 753: -63.50000000000053
episode 754: -73.40000000000025
episode 755: -59.900000000000496
episode 756: -55.40000000000048
episode 757: -49.76527537712772
episode 758: -60.80000000000051
episode 759: -60.800000000000544
episode 760: -59.00000000000048
episode 761: -59.0000000000005
episode 762: -61.70000000000055
episode 763: -41.72830659078092
episode 764: -56.300000000000495
episode 765: -61.700000000000536
episode 766: -61.700000000000486
episode 767: -60.800000000000516
episode 768: -62.60000000000051
episode 769: -56.300000000000495
episode 770: -64.40000000000046
episode 771: -61.700000000000585
episode 772: -53.335639879767335
episode 773: -55.400000000000475
episode 774: -65.30000000000045
episode 775: -65.30000000000047
episode 776: -35.5763399443057
episode 777: -59.900000000000524
episode 778: -53.60000000000045
episode 779: -48.708252347837316
episode 780: -68.00000000000036
episode 781: -62.60000000000057
episode 782: -65.30000000000045
episode 783: -60.80000000000047
episode 784: -58.100000000000506
episode 785: -58.10000000000049
episode 786: -62.60000000000055
episode 787: -57.20000000000049
episode 788: -59.90000000000051
episode 789: -59.900000000000524
episode 790: -66.20000000000043
episode 791: -44.719982093152254
episode 792: -65.30000000000051
episode 793: -59.900000000000496
episode 794: -59.900000000000546
episode 795: -59.90000000000056
episode 796: -60.8000000000005
episode 797: -70.70000000000012
episode 798: -59.9000000000005
episode 799: -48.49173493399475
episode 800: -55.40000000000048
episode 801: -75.19999999999972
episode 802: -66.20000000000046
episode 803: -58.10000000000049
episode 804: -59.90000000000054
episode 805: -68.00000000000028
episode 806: -53.60000000000048
episode 807: -62.6000000000005
episode 808: -63.50000000000052
episode 809: -59.900000000000496
episode 810: -62.600000000000534
episode 811: -59.00000000000049
episode 812: -59.00000000000052
episode 813: -60.80000000000055
episode 814: -55.40000000000048
episode 815: 86.9820460395349
episode 816: -57.20000000000051
episode 817: -63.500000000000526
episode 818: -59.900000000000546
episode 819: -72.50000000000009
episode 820: -64.40000000000049
episode 821: -56.898879092133654
episode 822: -77.89999999999975
episode 823: 271.7900790030519
episode 824: -67.1000000000003
episode 825: -64.40000000000047
episode 826: -59.00000000000052
episode 827: -54.04411555324387
episode 828: -66.20000000000047
episode 829: -57.200000000000514
episode 830: -68.90000000000029
episode 831: -65.30000000000038
