C:\Users\Naomi\AppData\Local\Programs\Python\Python36\python.exe D:/Naomi/Desktop/Naomi/AI/AI_project/main.py --ee sf --graphs -m S_M_250_maxreward -d 0.99 -a 0.5 -e 0.002 --maxreward 250
Loading chipmunk for Windows (64bit) [C:\Users\Naomi\AppData\Local\Programs\Python\Python36\lib\site-packages\pymunk\chipmunk.dll]
no model found
episode 395: -57.66134550347847
episode 396: -41.36205300312458
episode 397: -59.900000000000524
episode 398: -55.40000000000047
episode 399: -61.700000000000514
episode 400: -58.100000000000485
episode 401: -67.10000000000039
episode 402: -58.100000000000506
episode 403: -53.60000000000045
episode 404: -56.30000000000047
episode 405: -56.300000000000495
episode 406: -60.800000000000544
episode 407: -57.20000000000051
episode 408: -47.321354863530004
episode 409: -54.5000000000005
episode 410: -85.99999999999983
episode 411: -50.817128112409065
episode 412: -57.20000000000049
episode 413: -61.70000000000055
episode 414: -60.8000000000005
episode 415: -35.29720290119423
episode 416: -58.10000000000053
episode 417: -63.50000000000052
episode 418: -53.60000000000046
episode 419: -73.40000000000002
episode 420: -58.10000000000051
episode 421: -71.60000000000024
episode 422: -67.1000000000003
episode 423: -55.400000000000496
episode 424: -63.500000000000476
episode 425: -72.50000000000017
episode 426: -71.60000000000016
episode 427: -71.60000000000025
episode 428: -50.917230943428734
episode 429: -73.40000000000008
episode 430: -59.90000000000049
episode 431: -56.30000000000049
episode 432: -60.800000000000516
episode 433: -57.20000000000049
episode 434: -59.90000000000051
episode 435: -58.10000000000048
episode 436: -60.800000000000516
episode 437: -55.40000000000046
episode 438: -59.90000000000052
episode 439: -68.90000000000036
episode 440: -60.800000000000495
episode 441: -61.70000000000052
episode 442: -65.30000000000038
episode 443: -67.10000000000042
episode 444: -76.09999999999982
episode 445: -59.90000000000055
episode 446: -58.100000000000506
episode 447: -57.20000000000051
episode 448: -62.60000000000047
episode 449: -59.900000000000524
episode 450: -56.300000000000516
episode 451: -56.300000000000466
episode 452: -62.600000000000506
episode 453: -59.00000000000048
episode 454: -57.20000000000047
episode 455: 124.94339662039313
episode 456: -68.00000000000021
episode 457: -67.10000000000034
episode 458: -59.00000000000048
episode 459: -47.224170474097164
episode 460: -53.60000000000048
episode 461: -66.20000000000043
episode 462: -61.70000000000049
episode 463: -53.6000000000005
episode 464: -61.70000000000052
episode 465: -64.40000000000055
episode 466: -54.500000000000476
episode 467: -60.80000000000054
episode 468: -56.30000000000049
episode 469: -60.80000000000052
episode 470: -60.80000000000053
episode 471: -68.90000000000026
episode 472: -56.3000000000005
episode 473: -56.300000000000466
episode 474: -59.00000000000047
episode 475: -58.100000000000534
episode 476: -59.00000000000051
episode 477: -59.900000000000524
episode 478: -58.644074944581774
episode 479: -66.20000000000041
episode 480: -59.9000000000005
episode 481: -56.30000000000047
episode 482: -64.40000000000053
episode 483: -64.40000000000052
episode 484: -60.800000000000544
episode 485: -57.20000000000049
episode 486: -56.300000000000495
episode 487: -59.00000000000052
episode 488: -59.000000000000526
episode 489: -59.000000000000526
episode 490: -59.00000000000052
episode 491: -61.7000000000005
episode 492: -59.02477044302861
episode 493: -59.900000000000524
episode 494: -47.50755232056909
episode 495: -62.6000000000005
episode 496: -59.9000000000005
episode 497: -58.100000000000506
episode 498: -64.40000000000053
episode 499: -59.90000000000055
episode 500: -54.50000000000048
episode 501: -61.700000000000564
episode 502: -58.100000000000506
episode 503: -64.40000000000053
episode 504: -59.00000000000056
episode 505: -69.80000000000021
episode 506: -60.80000000000053
episode 507: -62.60000000000047
episode 508: -59.900000000000496
episode 509: -59.00000000000052
episode 510: -68.00000000000026
episode 511: -62.6000000000005
episode 512: -60.8000000000005
episode 513: -63.500000000000504
episode 514: -62.600000000000556
episode 515: -66.20000000000041
episode 516: -58.100000000000506
episode 517: -69.80000000000013
episode 518: -60.80000000000053
episode 519: -65.3000000000004
episode 520: -72.49999999999999
episode 521: -55.40000000000051
episode 522: -59.00000000000049
episode 523: -66.20000000000029
episode 524: -57.20000000000051
episode 525: -57.20000000000051
episode 526: -63.50000000000054
episode 527: -82.39999999999947
episode 528: -58.10000000000048
episode 529: -68.90000000000025
episode 530: -68.00000000000027
episode 531: -60.8000000000005
episode 532: -59.900000000000546
episode 533: -56.30000000000047
episode 534: -64.40000000000055
episode 535: -55.400000000000475
episode 536: -63.500000000000526
episode 537: -58.100000000000506
episode 538: -59.00000000000055
episode 539: -55.400000000000496
episode 540: -59.900000000000475
episode 541: -66.20000000000036
episode 542: -52.70000000000047
episode 543: -59.00000000000053
episode 544: -52.45932642602008
episode 545: -53.04322595738374
episode 546: -64.4000000000005
episode 547: -62.60000000000053
episode 548: -75.19999999999989
episode 549: -64.40000000000047
episode 550: -54.500000000000504
episode 551: -59.9000000000005
episode 552: -58.100000000000485
episode 553: -21.533330262354124
episode 554: -68.00000000000028
episode 555: -59.00000000000054
episode 556: -57.200000000000486
episode 557: -77.00000000000014
episode 558: -72.49999999999999
episode 559: -50.4752421403022
episode 560: -67.10000000000025
episode 561: -68.90000000000025
episode 562: -60.80000000000049
episode 563: -55.400000000000496
episode 564: -63.50000000000049
episode 565: -61.7000000000005
episode 566: -63.50000000000054
episode 567: -62.600000000000506
episode 568: -63.50000000000051
episode 569: -59.90000000000055
episode 570: -59.900000000000475
episode 571: -59.00000000000053
episode 572: -59.900000000000496
episode 573: -54.500000000000476
episode 574: -55.40000000000048
episode 575: -58.10000000000046
episode 576: -62.6000000000005
episode 577: -52.70000000000047
episode 578: -60.80000000000047
episode 579: -67.10000000000036
episode 580: -55.40000000000051
episode 581: -69.80000000000011
episode 582: -56.300000000000466
episode 583: -50.530457753811426
episode 584: -59.9000000000005
episode 585: -57.20000000000051
episode 586: -59.00000000000049
episode 587: -58.100000000000506
episode 588: -74.29999999999995
episode 589: -60.8000000000005
episode 590: -58.10000000000048
episode 591: -62.60000000000048
episode 592: -59.90000000000054
episode 593: -68.9000000000003
episode 594: -62.600000000000534
episode 595: -59.90000000000052
episode 596: -70.70000000000009
episode 597: -57.20000000000051
episode 598: -68.00000000000031
episode 599: 357.7511200318423
episode 600: -70.70000000000012
