C:\Users\Naomi\AppData\Local\Programs\Python\Python36\python.exe D:/Naomi/Desktop/Naomi/AI/AI_project/main.py --ee sf --graphs -m softmax_train -d 0.99 -a 0.5 -e 0.002
Loading chipmunk for Windows (64bit) [C:\Users\Naomi\AppData\Local\Programs\Python\Python36\lib\site-packages\pymunk\chipmunk.dll]
no model found
episode 310: -60.8000000000005
episode 311: -75.19999999999986
episode 312: -57.20000000000047
episode 313: -57.2000000000005
episode 314: -60.80000000000052
episode 315: -57.20000000000053
episode 316: -59.000000000000504
episode 317: -62.600000000000556
episode 318: -55.400000000000496
episode 319: -61.70000000000053
episode 320: -60.800000000000495
episode 321: -54.5000000000005
episode 322: -66.20000000000041
episode 323: -68.90000000000023
episode 324: -58.100000000000506
episode 325: -59.90000000000052
episode 326: -71.60000000000002
episode 327: -58.10000000000049
episode 328: -63.50000000000054
episode 329: -67.10000000000039
episode 330: -58.10000000000049
episode 331: -58.100000000000534
episode 332: -66.20000000000037
episode 333: -66.20000000000039
episode 334: -58.1000000000005
episode 335: -58.1000000000005
episode 336: -63.500000000000526
episode 337: -57.20000000000053
episode 338: -56.30000000000051
episode 339: -58.100000000000506
episode 340: -70.70000000000014
episode 341: -57.200000000000486
episode 342: -60.80000000000049
episode 343: -57.20000000000051
episode 344: -64.40000000000049
episode 345: -61.70000000000046
episode 346: -63.50000000000055
episode 347: -61.70000000000051
episode 348: -64.40000000000046
episode 349: -60.80000000000049
episode 350: -64.40000000000047
episode 351: -66.20000000000037
episode 352: -58.100000000000485
episode 353: -64.40000000000049
episode 354: -68.00000000000047
episode 355: -68.00000000000033
episode 356: -59.90000000000053
episode 357: -60.80000000000054
episode 358: -59.0000000000005
episode 359: -62.60000000000053
episode 360: -56.30000000000051
episode 361: -56.30000000000047
episode 362: -57.20000000000051
episode 363: -65.30000000000048
episode 364: -62.60000000000051
episode 365: -59.9000000000005
episode 366: -56.30000000000051
episode 367: -62.600000000000534
episode 368: -62.60000000000056
episode 369: -69.80000000000014
episode 370: -58.10000000000049
episode 371: -59.900000000000524
episode 372: -59.900000000000524
episode 373: -65.30000000000047
episode 374: -59.00000000000051
episode 375: -64.40000000000047
episode 376: -60.80000000000052
episode 377: -70.70000000000014
episode 378: -66.20000000000039
episode 379: -68.00000000000034
episode 380: -56.30000000000051
episode 381: -60.8000000000005
episode 382: -59.90000000000049
episode 383: -50.50092433746973
episode 384: -51.80000000000045
episode 385: -57.20000000000051
episode 386: -49.10218203025795
episode 387: -60.80000000000055
episode 388: -60.80000000000049
episode 389: -63.50000000000053
episode 390: -65.30000000000051
episode 391: -64.4000000000005
episode 392: -55.40000000000051
episode 393: -62.600000000000534
episode 394: -58.100000000000534
episode 395: -74.30000000000005
episode 396: -62.60000000000055
episode 397: -60.800000000000566
episode 398: -62.600000000000534
episode 399: -62.600000000000534
episode 400: -59.00000000000048
episode 401: -57.200000000000514
episode 402: -59.900000000000524
episode 403: -68.90000000000025
episode 404: -50.90000000000045
episode 405: -62.60000000000052
episode 406: -58.10000000000049
episode 407: -58.100000000000485
episode 408: -58.100000000000534
episode 409: -59.00000000000049
episode 410: -59.9000000000005
episode 411: -57.20000000000049
episode 412: -58.100000000000506
episode 413: -62.600000000000534
episode 414: -59.000000000000504
episode 415: -51.47215299834777
episode 416: -50.369523556068124
episode 417: -61.7000000000005
episode 418: -61.70000000000053
episode 419: -58.100000000000556
episode 420: -61.70000000000049
episode 421: -57.20000000000048
episode 422: -66.2000000000004
episode 423: -65.30000000000045
episode 424: -56.30000000000049
episode 425: -61.700000000000514
episode 426: -67.10000000000046
episode 427: -58.10000000000047
episode 428: -65.30000000000047
episode 429: -60.80000000000047
episode 430: -61.70000000000052
episode 431: -69.80000000000013
episode 432: -60.8000000000005
episode 433: -64.40000000000052
episode 434: -67.10000000000046
episode 435: -45.94968070083585
episode 436: -57.20000000000051
episode 437: -72.49999999999996
episode 438: -57.2000000000005
episode 439: -71.60000000000015
episode 440: -61.70000000000052
episode 441: -57.20000000000048
episode 442: -58.10000000000049
episode 443: -67.10000000000039
episode 444: -57.20000000000049
episode 445: -58.10000000000048
episode 446: -68.90000000000026
episode 447: -60.800000000000516
episode 448: -65.30000000000045
episode 449: -60.80000000000049
episode 450: -56.30000000000049
episode 451: -65.30000000000044
episode 452: -66.20000000000046
episode 453: -64.40000000000047
episode 454: -56.30000000000052
episode 455: -59.00000000000049
episode 456: -60.80000000000054
episode 457: -60.80000000000056
episode 458: -59.900000000000524
episode 459: -70.70000000000026
episode 460: -65.3000000000005
episode 461: -56.30000000000047
episode 462: -59.000000000000455
episode 463: -59.000000000000504
episode 464: -63.500000000000576
episode 465: -58.100000000000506
episode 466: -58.100000000000506
episode 467: -62.60000000000051
episode 468: -59.00000000000051
episode 469: -61.70000000000055
episode 470: -39.13043748658252
episode 471: -42.21962824858161
episode 472: -59.9000000000005
episode 473: -55.40000000000052
episode 474: -54.50000000000047
episode 475: -59.00000000000053
episode 476: -54.39458837139628
episode 477: -67.10000000000036
episode 478: -61.700000000000536
episode 479: -72.50000000000013
episode 480: -69.80000000000032
episode 481: -57.20000000000047
episode 482: -58.10000000000049
episode 483: -63.50000000000049
episode 484: -65.30000000000042
episode 485: -53.6000000000005
episode 486: -43.016958995239946
episode 487: -61.700000000000514
episode 488: -61.700000000000564
episode 489: -59.000000000000526
episode 490: -58.10000000000049
episode 491: -59.00000000000049
episode 492: -66.2000000000005
episode 493: -62.60000000000056
episode 494: -58.10000000000051
episode 495: -68.90000000000028
episode 496: -68.00000000000027
episode 497: -64.40000000000052
episode 498: -57.20000000000049
episode 499: -58.100000000000506
episode 500: -33.080670017324024
episode 501: -52.444616539309486
episode 502: -59.9000000000005
episode 503: -57.20000000000052
episode 504: -76.99999999999973
episode 505: -40.597898437805306
episode 506: -40.54146326281859
episode 507: -61.7000000000005
episode 508: -58.10000000000051
episode 509: -64.40000000000047
episode 510: -67.10000000000032
episode 511: -53.403355643659566
episode 512: -60.80000000000052
episode 513: -62.60000000000051
episode 514: -62.60000000000055
episode 515: 3.4322901787931466
episode 516: -59.00000000000052
episode 517: -57.200000000000486
episode 518: -60.80000000000049
episode 519: -64.40000000000049
episode 520: -59.00000000000049
episode 521: -76.09999999999991
episode 522: -58.10000000000046
episode 523: -66.20000000000041
episode 524: -59.000000000000526
episode 525: -59.900000000000524
episode 526: -55.40000000000048
episode 527: -47.26320282718246
episode 528: -56.30000000000047
episode 529: -58.100000000000485
episode 530: -62.60000000000057
episode 531: -59.90000000000049
episode 532: -61.700000000000536
episode 533: -59.00000000000051
episode 534: -58.1000000000005
episode 535: -52.70000000000047
episode 536: -68.0000000000003
episode 537: -53.60000000000048
episode 538: -58.10000000000049
episode 539: -60.800000000000516
episode 540: -67.10000000000032
episode 541: -57.20000000000049
episode 542: -60.80000000000052
episode 543: -59.90000000000051
episode 544: -56.02890500043427
episode 545: -59.00000000000051
episode 546: -63.50000000000055
episode 547: -63.50000000000053
episode 548: -64.40000000000052
episode 549: -61.700000000000514
episode 550: -71.60000000000005
episode 551: -56.30000000000048
episode 552: -68.00000000000026
episode 553: -62.6000000000005
episode 554: -71.60000000000014
episode 555: -58.10000000000049
episode 556: -65.3000000000005
episode 557: -61.70000000000056
episode 558: -59.90000000000052
episode 559: -59.90000000000052
episode 560: -60.80000000000048
episode 561: -62.60000000000051
episode 562: -57.20000000000049
episode 563: -53.60000000000048
episode 564: -57.2000000000005
episode 565: -70.70000000000017
episode 566: -59.90000000000052
episode 567: -59.00000000000051
episode 568: -55.40000000000047
episode 569: -61.70000000000051
episode 570: -65.30000000000048
episode 571: -65.30000000000041
episode 572: -59.90000000000049
episode 573: -59.00000000000052
episode 574: -58.10000000000053
episode 575: -56.30000000000047
episode 576: -59.90000000000049
episode 577: -57.20000000000047
episode 578: -57.200000000000486
episode 579: -60.80000000000049
episode 580: -68.90000000000032
episode 581: -77.0
episode 582: -62.600000000000534
episode 583: -57.20000000000048
